date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:07	119338/119338	---M-Z	200	added ('OK')	application/javascript	etag:%221d22a-5dea1baf30e31-gzip%22	https://templates.iqonic.design/yofit/html/assets/js/chart-custom.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/js/chart-custom.js	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:08	7176/7176	---M-Z	200	added ('OK')	application/javascript	etag:%221c08-5dea1baf30e31-gzip%22	https://templates.iqonic.design/yofit/html/assets/js/charts/reports.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/js/charts/reports.js	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:08	1275897/1275897	---MCZ	200	added ('OK')	application/javascript	etag:%221377f9-5dea1baf30e31-gzip%22	https://templates.iqonic.design/yofit/html/assets/js/backend-bundle.min.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/js/backend-bundle.min.js	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:09	23650/23650	---M-Z	200	added ('OK')	application/javascript	etag:%225c62-5dea1baf2b071-gzip%22	https://templates.iqonic.design/yofit/html/assets/js/app.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/js/app.js	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:09	58862/58862	---M-Z	200	added ('OK')	application/javascript	etag:%22e5ee-5dea1baf8f9d0-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/moment.min.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/moment.min.js	(from https://templates.iqonic.design/yofit/html/backend/)
12:01:10	201/201	---M--	200	added ('OK')	image/png	etag:%22c9-5dea1baf2a0d1%22	https://templates.iqonic.design/yofit/html/assets/images/sort_both.png	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/sort_both.png	(from https://templates.iqonic.design/yofit/html/assets/css/backend-plugin.min.css)
12:01:10	160/160	---M--	200	added ('OK')	image/png	etag:%22a0-5dea1baf2a0d1%22	https://templates.iqonic.design/yofit/html/assets/images/sort_asc.png	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/sort_asc.png	(from https://templates.iqonic.design/yofit/html/assets/css/backend-plugin.min.css)
12:01:11	158/158	---M--	200	added ('OK')	image/png	etag:%229e-5dea1baf2a0d1%22	https://templates.iqonic.design/yofit/html/assets/images/sort_desc.png	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/sort_desc.png	(from https://templates.iqonic.design/yofit/html/assets/css/backend-plugin.min.css)
12:01:11	148/148	---M--	200	added ('OK')	image/png	etag:%2294-5dea1baf2a0d1%22	https://templates.iqonic.design/yofit/html/assets/images/sort_asc_disabled.png	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/sort_asc_disabled.png	(from https://templates.iqonic.design/yofit/html/assets/css/backend-plugin.min.css)
12:01:12	146/146	---M--	200	added ('OK')	image/png	etag:%2292-5dea1baf2a0d1%22	https://templates.iqonic.design/yofit/html/assets/images/sort_desc_disabled.png	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/sort_desc_disabled.png	(from https://templates.iqonic.design/yofit/html/assets/css/backend-plugin.min.css)
